Index,2013 Seeded Area (000 ha),2013 Harvested Area (000 ha),2013 Yield (t/ha),2013 Production (000 t),2014 Seeded Area (000 ha),2014 Harvested Area (000 ha),2014 Yield (t/ha),2014 Production (000 t),2015 Seeded Area (000 ha),2015 Harvested Area (000 ha),2015 Yield (t/ha),2015 Production (000 t),2016 Seeded Area (000 ha),2016 Harvested Area (000 ha),2016 Yield (t/ha),2016 Production (000 t),2017 Seeded Area (000 ha),2017 Harvested Area (000 ha),2017 Yield (t/ha),2017 Production (000 t),2018 Seeded Area (000 ha),2018 Harvested Area (000 ha),2018 Yield (t/ha),2018 Production (000 t),2019 Seeded Area (000 ha),2019 Harvested Area (000 ha),2019 Yield (t/ha),2019 Production (000 t),2020 Seeded Area (000 ha),2020 Harvested Area (000 ha),2020 Yield (t/ha),2020 Production (000 t),2021 Seeded Area (000 ha),2021 Harvested Area (000 ha),2021 Yield (t/ha),2021 Production (000 t),2022 Seeded Area (000 ha),2022 Harvested Area (000 ha),2022 Yield (t/ha),2022 Production (000 t)
Winter Wheat,72.8,62.7,4.601275917065,288.5,85,74.9,3.953271028037,296.1,72.8,64.7,3.491499227202,225.9,78.5,72.4,4.397790055248,318.4,52.6,42.5,4.162352941176,176.9,38.4,26.3,3.817490494296,100.4,40.5,31.3,3.29392971246,103.1,49.5,36.2,4.430939226519,160.4,82.78,62.5,2.84848,178.03,61.5,46.5,3.979784946236,185.06
Spring Wheat,2606.2,2586,3.932559938128,10169.6,2466.6,2422.1,3.455307377895,8369.1,2391.7,2298.6,3.153049682415,7247.6,2318.3,2074,3.955834136933,8204.4,2371.5,2337,3.731279418057,8720,2535.2,2491.3,3.520892706619,8771.6,2665.9,2585.5,3.679288338812,9512.8,2555.2,2502.2,3.818999280633,9555.9,2310.69,2265,2.471483443708,5597.91,2588.3,2550.9,3.905974361989,9963.75
CW Red Spring,2155,2138.8,3.719422105853,7955.1,2043.7,2009.3,3.302194794206,6635.1,1962.7,1893.9,3.017741169016,5715.3,1847.4,1641,3.73156611822,6123.5,2013.3,1993.1,3.622648136069,7220.3,2037.6,2009,3.379342956694,6789.1,2237.4,2181.5,3.562869585147,7772.4,2083.4,2048.1,3.750500463844,7681.4,1867.25,1842.9,2.378430734168,4383.21,2057.7,2035.7,3.777182296016,7689.21
Canada Prairie Spring,257,255,5.002352941176,1275.6,275.2,273.2,4.18008784773,1142,273.2,267.1,3.821040808685,1020.6,299.5,277.2,5.00505050505,1387.4,218.5,214.5,4.554778554778,977,279.1,271.6,4.530191458026,1230.4,275.3,256.5,4.524366471734,1160.5,308.1,299.1,4.116014710799,1231.1,285.47,280.8,3.1875,895.05,308.1,305.6,4.73740183246,1447.75
Northern Hard Red,,,,,,,,,,,,,,,,,,,,,129.1,127.5,3.391372549019,432.4,,,,,37.2,36.3,3.62258953168,131.5,41.31,40.8,2.416911764705,98.61,102.6,100.6,3.701789264413,372.4
CW Extra Strong,26.3,26.3,4.96577946768,130.6,6.1,6.1,4.245901639344,25.9,24.3,24.3,3.921810699588,95.3,50.8,46.5,4.096774193548,190.5,30.4,28.3,4.106007067137,116.2,16.7,16.7,3.425149700598,57.2,,,,,,,,,,,,,,,,
CW Soft White Spring,131.5,129.5,4.917374517374,636.8,121.4,115.3,4.213356461405,485.8,111.3,97.1,3.643666323377,353.8,91.1,83,4.584337349397,380.5,78.9,72.8,3.925824175824,285.8,51.9,46.5,4.14193548387,192.6,81.9,80.7,4.106567534076,331.4,74.3,68.5,4.690510948905,321.3,69.99,54.9,2.046812386156,112.37,74.2,63.4,4.394952681388,278.64
Other Spring Wheat,36.4,36.4,4.711538461538,171.5,20.2,18.2,4.412087912087,80.3,20.2,16.2,3.864197530864,62.6,29.5,26.3,4.657794676806,122.5,30.4,28.3,4.265017667844,120.7,15,14,3.4,47.6,33.9,31.4,3.926751592356,123.3,42,40.3,3.816377171215,153.8,28.59,27.6,2.608333333333,71.99,32.4,32.3,3.821671826625,123.44
Wheat (excluding durum),2679,2648.7,3.948389776116,10458.1,2551.6,2497,3.470244293151,8665.2,2464.5,2363.3,3.162315406423,7473.5,2396.8,2146.4,3.970741707044,8522.8,2424.1,2379.5,3.738978777054,8896.9,2573.6,2517.6,3.523991102637,8872,2706.4,2616.8,3.674678997248,9615.9,2604.7,2538.4,3.827726126693,9716.3,2393.47,2327.5,2.481606874328,5775.94,2649.8,2597.4,3.907295757295,10148.81
Durum,250.9,248.9,3.498995580554,870.9,234.7,230.7,3.067186822713,707.6,360.2,352.1,2.318943481965,816.5,445.8,439.1,3.607150990662,1583.9,441.1,439.1,2.466864040081,1083.2,479.5,473.7,2.394131306734,1134.1,313.6,300.5,2.154076539101,647.3,409.5,406.3,3.260398720157,1324.7,419.66,390.3,1.534511913912,598.92,439.8,434.3,2.750402947271,1194.5
Wheat,2929.9,2897.6,3.90978741027,11329,2786.3,2727.7,3.436155002382,9372.8,2824.7,2715.4,3.052957207041,8290,2842.6,2585.5,3.908992457938,10106.7,2865.2,2818.6,3.54080039736,9980.1,3053.1,2991.3,3.345067362016,10006.1,3020,2917.3,3.518047509683,10263.2,3014.2,2944.7,3.749448161103,11041,2813.13,2717.8,2.345595702406,6374.86,3089.6,3031.7,3.741567437411,11343.31
Oats,234.7,165.9,3.625678119349,601.5,271.1,184.1,2.948940793047,542.9,293.4,145.7,2.699382292381,393.3,332.7,174,3.589655172413,624.6,279.2,172,3.541860465116,609.2,321.8,207.2,3.378861003861,700.1,363.9,234,3.567521367521,834.8,356.6,245,3.273469387755,802,357.73,244.5,2.235910020449,546.68,381.8,304.6,3.462508207485,1054.68
Barley,1497.3,1363.8,4.066138730019,5545.4,1315.2,1157.4,3.569466044582,4131.3,1416.4,1167.5,3.673832976445,4289.2,1381.6,1076.5,4.085462145843,4398,1153.4,1011.7,3.860828308787,3906,1260.2,1111.6,3.595088161209,3996.3,1441.9,1272.7,3.893454859746,4955.2,1481.8,1326.2,3.983562057004,5283,1598.75,1429.7,2.551542281597,3647.94,1437.8,1318.4,4.081212075242,5380.67
Rye,16.2,12.1,3,36.3,16.2,12.1,2.553719008264,30.9,18.2,12.1,2.727272727272,33,32.8,21,2.842857142857,59.7,18.2,10.1,3.316831683168,33.5,16,9.1,3.296703296703,30,26.6,7.8,3.435897435897,26.8,41.6,29.2,3.67808219178,107.4,39.53,25.3,3.441501976284,87.07,40.1,25.9,3.522779922779,91.24
Mixed Grains,56.7,4.9,2.714285714285,13.3,56.7,4.9,2.632653061224,12.9,46.5,4,3.05,12.2,98,10.1,3.029702970297,30.6,54.6,10.1,3.267326732673,33,72.4,,,,65.9,8.3,,,69.2,26.9,2.527881040892,68,94.84,28.2,2.271631205673,64.06,56.1,21.5,2.838604651162,61.03
Corn,10.1,8.1,8.148148148148,66,20.2,14.2,6.436619718309,91.4,16.2,12.9,6.790697674418,87.6,16.6,12.1,8.099173553719,98,24.3,18.2,8.401098901098,152.9,14.2,13,9.1,118.3,11.8,8.1,7.814814814814,63.3,16.5,12.3,8.829268292682,108.6,19.16,18.1,8.957458563535,162.13,5.7,5.1,8.631372549019,44.02
Coarse Grains,1815,1554.8,4.027849241059,6262.5,1679.4,1372.7,3.503606031907,4809.4,1790.7,1342.2,3.587617344658,4815.3,1861.7,1293.7,4.027904460075,5210.9,1529.7,1222.1,3.874151051468,4734.6,1684.6,1340.9,3.613021105227,4844.7,1910.1,1530.9,3.840943236004,5880.1,1965.7,1639.6,3.884484020492,6369,2110.01,1745.8,2.58212853706,4507.88,1921.5,1675.5,3.958006565204,6631.64
Flaxseed,36.4,36.4,2.024725274725,73.7,54.6,54.6,1.802197802197,98.4,48.6,48.2,1.738589211618,83.8,31.8,29.1,2.054982817869,59.8,34.4,34.4,1.808139534883,62.2,37.1,37.1,1.630727762803,60.5,46.1,43.1,1.890951276102,81.5,39.3,37.8,2.079365079365,78.6,49.87,49,1.059387755102,51.91,52,51.9,1.603853564547,83.24
Canola,2565.7,2555.6,2.413875410862,6168.9,2751.9,2739.7,2.115888600941,5796.9,2535.4,2519.2,2.322681803747,5851.3,2495.2,2422,2.542320396366,6157.5,2804.5,2788.3,2.448301832657,6826.6,2755.9,2703,2.171883092859,5870.6,2401.2,2355.6,2.258490405841,5320.1,2377.9,2313.5,2.252906851091,5212.1,2705.73,2678.7,1.620562213013,4341,2639,2620.9,2.13350375825,5591.7
Soybeans,,,,,,,,,,,,,,,,,,,,,7.4,6.9,1.681159420289,11.6,2.8,2.6,1.884615384615,4.9,1,,,,,,,,,,,
Oilseeds,2602.1,2592,2.408410493827,6242.6,2806.5,2794.3,2.10975915256,5895.3,2584,2567.4,2.311716133052,5935.1,2527,2451.1,2.53653461711,6217.3,2838.9,2822.7,2.440500230275,6888.8,2800.4,2747,2.163341827448,5942.7,2450.1,2401.3,2.251488776912,5406.5,2418.2,2351.3,2.250116956577,5290.7,2755.6,2727.7,1.61048135792,4392.91,2691,2672.8,2.123219096079,5674.94
Grains and Oilseeds,7347,7044.4,3.383410936346,23834.1,7272.2,6894.7,2.912019377202,20077.5,7199.4,6625,2.874022641509,19040.4,7231.3,6330.3,3.401876688308,21534.9,7233.8,6863.4,3.147638196812,21603.5,7538.1,7079.2,2.937266922816,20793.5,7380.2,6849.5,3.146185852981,21549.8,7398.1,6935.6,3.273069381163,22700.7,7678.74,7191.3,2.124184778829,15275.65,7702.1,7380,3.204592140921,23649.89
Dry Peas,420.9,416.7,3.170866330693,1321.3,548.4,540.3,2.730149916712,1475.1,613.1,599,2.19449081803,1314.5,772.7,732.4,3.101037684325,2271.2,728.4,724.3,2.749551290901,1991.5,611.6,598.9,2.685590248789,1608.4,728.5,705.5,2.389652728561,1685.9,667.8,644.4,2.79189944134,1799.1,595.39,579,1.545077720207,894.6,535.7,528,2.945719696969,1555.34
Dry White Beans,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,3.02,0,,0,0,0,,0
Coloured Beans,16.2,16.2,2.962962962962,48,22.3,21.4,3.084112149532,66,16.1,15.3,3.13725490196,48,23,23,2.673913043478,61.5,20.2,20.2,3.044554455445,61.5,25.3,24.6,2.959349593495,72.8,23.1,21.7,3.009216589861,65.3,22.2,22,3.318181818181,73,29.66,29.5,3.246101694915,95.76,20.2,17.8,2.79213483146,49.7
Lentils,40.4,38.4,2.872395833333,110.3,44.5,43.7,1.931350114416,84.4,115.4,114.5,1.540611353711,176.4,187.6,185.4,2.436893203883,451.8,196.3,195.5,1.352429667519,264.4,170,169.8,1.175500588928,199.6,156.9,151.4,1.107001321003,167.6,171.1,169.6,2.184551886792,370.5,179.07,178,0.952584269662,169.56,222.7,222.3,1.503193882141,334.16
Chickpeas,4.2,4.2,1.690476190476,7.1,4.1,4.1,1.951219512195,8,3.5,3.5,1.857142857142,6.5,3.7,3.7,1.891891891891,7,3.4,3.4,1.794117647058,6.1,29.7,29.7,1.164983164983,34.6,24.3,24.1,1.564315352697,37.7,,,,,,,,,,,,
Mustard Seed,38.5,37.2,1,37.2,54.6,53.8,1.10408921933,59.4,36.4,35.5,0.898591549295,31.9,54.5,53.3,1.375234521575,73.3,38.4,37.6,0.720744680851,27.1,49.4,47.8,0.767782426778,36.7,42.2,40.4,0.683168316831,27.6,32.4,32.3,1.130030959752,36.5,31.64,30.41,0.483722459717,14.71,58.1,57.3,0.800349040139,45.86
Sunflower Seed,,,,,,,,,,,,,,,,,,,,,1.2,,,,1.7,1.7,2.35294117647,4,,,,,1.05,,,,,,,
Canary Seed,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,1.285714285714,0.9,0,0,,0,0.98,,,,,,,
Pulses,481.7,475.5,3.126603575184,1486.7,619.3,609.5,2.680065627563,1633.5,748.1,732.3,2.110337293458,1545.4,987,944.5,2.955532027527,2791.5,948.3,943.4,2.462900148399,2323.5,836.6,823,2.327339003645,1915.4,932.8,902.7,2.167386728702,1956.5,861.1,836,2.682535885167,2242.6,807.14,786.5,1.47478703115,1159.92,778.6,768.1,2.524671266762,1939.2
Special Crops,38.5,37.2,1,37.2,54.6,53.8,1.10408921933,59.4,36.4,35.5,0.898591549295,31.9,54.5,53.3,1.375234521575,73.3,38.4,37.6,0.720744680851,27.1,50.6,47.8,0.767782426778,36.7,44.6,42.8,0.759345794392,32.5,32.4,32.3,1.130030959752,36.5,33.67,30.41,0.483722459717,14.71,58.1,57.3,0.800349040139,45.86
Pulses and Special Crops,520.2,512.7,2.97230349132,1523.9,673.9,663.3,2.55223880597,1692.9,784.5,767.8,2.054311018494,1577.3,1041.5,997.8,2.871116456203,2864.8,986.7,981,2.39612640163,2350.6,887.2,870.8,2.241731740927,1952.1,977.4,945.5,2.103648863035,1989,893.5,868.3,2.624784060808,2279.1,840.81,816.91,1.437894015252,1174.63,836.7,825.4,2.404967288587,1985.06
Crop Total,7867.2,7557.1,3.355519974593,25358,7946.1,7558,2.880444562053,21770.4,7983.9,7392.8,2.788889189481,20617.7,8272.8,7328.1,3.329607947489,24399.7,8220.5,7844.4,3.053656111366,23954.1,8425.3,7950,2.861081761006,22745.6,8357.6,7795,3.019730596536,23538.8,8291.6,7803.9,3.200937992542,24979.8,8519.55,8008.21,2.054176900955,16450.28,8538.8,8205.4,3.124156043581,25634.95
Summerfallow,364.2,,,,350.1,,,,232.7,,,,238.8,,,,335.9,,,,188.5,,,,170.1,,,,250.9,,,,155.88,,,,145.3,,,
Area Total,8231.4,,,,8296.2,,,,8216.6,,,,8511.6,,,,8556.4,,,,8613.8,,,,8527.7,,,,8542.5,,,,8675.43,,,,8684.1,,,
Tame hay,2013.3,1829.2,4.148589547343,7588.6,1942.5,1792.8,3.891287371709,6976.3,1851.4,1604.6,2.89181104325,4640.2,1773.5,1622.8,4.460993344836,7239.3,1804.9,1683.5,4.262429462429,7175.8,1750.5,1645.5,3.668003646308,6035.7,1694.46,1558.89,4.281700440698,6674.7,1611.6,1546.6,4.124725203672,6379.3,1664.88,1482.4,2.601254722072,3856.1,1671.5,1540.9,3.730566552015,5748.43
